TYPE;SIMPLE FORM;SIMPLE PAST;PAST PARTICIPLE;MEANING
R;START;STARTED;STARTED;Comenzar - Arrancar
R;STAY;STAYED;STAYED;Permanecer - Quedar
I;STEAL;STOLE;STOLEN;Robar - Hurtar
I;STINK;STANK;STUNK;Apestar - Oler mal
R;STIR;STIRRED;STIRRED;Revolver - Remover
R;STOP;STOPPED;STOPPED;Parar - Detener
I;STRIKE;STRUCK;STRUCK;Golpear - Atacar - Pegar
I;STRIVE;STROVE;STRIVEN;Esforzarse - Luchar
R;STUDY;STUDIED;STUDIED;Estudiar
R;SUBTRACT;SUBTRACTED;SUBTRACTED;Sustraer - Restar
R;SUCK;SUCKED;SUCKED;Sorber - Chupar
R;SUPPORT;SUPPORTED;SUPPORTED;Soportar - Sostener
R;SUPPOSE;SUPPOSED;SUPPOSED;Suponer
R;SURROUND;SURROUNDED;SURROUNDED;Rodear - Cercar
I;SWEAR;SWORE;SWORN;Jurar
I;SWEEP;SWEPT;SWEPT;Barrer
I;SWIM;SWAM;SWUM;Nadar
I;SWING;SWUNG;SWUNG;Balancear - Columpiar
I;TAKE;TOOK;TAKEN;Tomar - Agarrar - Coger
R;TALK;TALKED;TALKED;Hablar - Conversar
R;TASTE;TASTED;TASTED;Saborear - Catar - Probar
I;TEACH;TAUGHT;TAUGHT;Enseñar
I;TEAR;TORE;TORN;Rasgar - Desgarrar - Arrancar
I;TELL;TOLD;TOLD;Decir - Contar
I;THINK;THOUGHT;THOUGHT;Pensar - Creer
I;THROW;THREW;THROWN;Lanzar - Arrojar
R;TRUST;TRUSTED;TRUSTED;Confiar - Creer
R;TOUCH;TOUCHED;TOUCHED;Tocar - Rozar
R;TRANSLATE;TRANSLATED;TRANSLATED;Traducir
R;TRAVEL;TRAVELED;TRAVELED;Viajar - Recorrer
R;TRY;TRIED;TRIED;Intentar - Probar - Ensayar
R;TURN;TURNED;TURNED;Girar - Voltear
R;TYPE;TYPED;TYPED;Digitar en teclado
R;UNDERLINE;UNDERLINED;UNDERLINED;Subrayar
I;UNDERSTAND;UNDERSTOOD;UNDERSTOOD;Entender - Comprender
I;UNDERTAKE;UNDERTOOK;UNDERTAKEN;Emprender - Encargar
I;UPSET;UPSET;UPSET;Alterar - Perturbar
R;SHARE;SHARED;SHARED;Compartir
R;SHARPEN;SHARPENED;SHARPENED;Afilar - Amolar
I;SHINE;SHONE;SHONE;Brillar - Alumbrar
I;SHOOT;SHOT;SHOT;Tirar - Disparar
R;SHOP;SHOPPED;SHOPPED;Comprar
R;SHOUT;SHOUTED;SHOUTED;Gritar
R;SHOW;SHOWED;SHOWED;Mostrar - Enseñar
I;SHRINK;SHRANK;SHRUNK;Encoger - Contraer
I;SHUT;SHUT;SHUT;Cerrar - Callar
R;SIGH;SIGHED;SIGHED;Suspirar - Susurrar
R;SIGN;SIGNED;SIGNED;Firmar
I;SING;SANG;SUNG;Cantar
I;SINK;SANK;SUNK;Sumergir - Hundir
I;SIT;SAT;SAT;Sentarse
R;SKATE;SKATED;SKATED;Patinar
I;SLEEP;SLEPT;SLEPT;Dormir
R;SLICE;SLICED;SLICED;Rebanar
I;SLIDE;SLID;SLID;Resbalar
R;SMELL;SMELLED;SMELLED;Oler - Husmear
R;SMILE;SMILED;SMILED;Sonreir
R;SMOKE;SMOKED;SMOKED;Fumar
R;SNEEZE;SNEEZED;SNEEZED;Estornudar
R;SOLVE;SOLVED;SOLVED;Resolver
R;SOUND;SOUNDED;SOUNDED;Sonar - Tocar
I;SPEAK;SPOKE;SPOKEN;Hablar
I;SPEED;SPED;SPED;Acelerar
R;SPELL;SPELLED;SPELLED;Deletrear
I;SPEND;SPENT;SPENT;Gastar - Pasar el tiempo
R;SPILL;SPILLED;SPILLED;Derramar
I;SPIN;SPUN;SPUN;Girar - Dar vueltas
I;SPIT;SPIT;SPIT;Escupir
R;SPLASH;SPLASHED;SPLASHED;Salpicar - Rociar - Chapotear
I;SPLIT;SPLIT;SPLIT;Divir - Partir
R;SPOIL;SPOILED;SPOILED;Estropear - Echar a perder - Mimar
I;SPREAD;SPREAD;SPREAD;Esparcir - Untar - Extender
R;SQUEEZE;SQUEEZED;SQUEEZED;Apretar - Comprimir
I;STAND;STOOD;STOOD;Ponerse de pie - Aguantar - POner - Tolerar - Estar de pie
R;ADD;ADDED;ADDED;Agregar - Añadir
R;ADVANCE;ADVANCED;ADVANCED;Avanzar - Adelantar
R;APPEAR;APPEARED;APPEARED;Aparecer
R;AGREE;AGREED;AGREED;Estar de acuerdo
R;ANSWER;ANSWERED;ANSWERED;Responder - Contestar
R;ABSORB;ABSORBED;ABSORBED;Absorver
I;ARISE;AROSE;ARISEN;Surgir - Levantarse
R;ARRIVE;ARRIVED;ARRIVED;Llegar - Arribar
R;ASK;ASKED;ASKED;Preguntar - Pedir
R;ASSIGN;ASSIGNED;ASSIGNED;Asignar - Designar
R;ASSIST;ASSISTED;ASSISTED;Ayudar - Asistir
R;ATTACH;ATTACHED;ATTACHED;Unir - Juntar
R;ATTEND;ATTENDED;ATTENDED;Asistir - Acompañar
I;AWAKE;AWOKE;AWOKE;Despertar(se) - Despertar
R;AWARD;AWARDED;AWARDED;Otorgar - Premiar
R;BAKE;BAKED;BAKED;Hornear - Cocer
R;BATHE;BATHED;BATHED;Bañar(se) - Bañar
I;BE;WAS - WERE;BEEN;Ser - Estar
I;BEAR;BORE;BORN;Nacer
I;BEAT;BEAT;BEATEN;Golpear - Batir
I;BECOME;BECAME;BECOME;Llegar a ser - Convertirse - Convertir
I;BEGIN;BEGAN;BEGUN;Comenzar - Empezar
R;BELIEVE;BELIEVED;BELIEVED;Creer
R;BELONG;BELONGED;BELONGED;Pertenecer
I;BEND;BENT;BENT;Doblar - Encorvar
I;BET;BET;BET;Apostar
I;BID;BID ;BID;Ofrecer - Ofertar - Mandar
I;BIND;BOUND;BOUND;Atar - Pegar - Enlazar
I;BITE;BIT;BITTEN;Morder - Picar
I;BLEED;BLED;BLED;Sangrar
I;BLOW;BLEW;BLOWN;Soplar - Ventear
r;BLUSH;BLUSHED;BLUSHED;Ruborizar - Sonrojar
R;BOIL;BOILED;BOILED;Hervir
R;BORROW;BORROWED;BORROWED;Pedir prestado
R;BOTHER;BOTHERED;BOTHERED;Molestar
I;BREAK;BROKE;BROKEN;Romper - Quebrar
I;BREED;BRED;BRED;Criar - Educar
I;BROADCAST;BROADCAST;BROADCAST;Difundir - Emitir
R;BROWN;BROWN;BROWN;Tostar - Dorar
R;BRUSH;BRUSHED;BRUSHED;Cepillar
I;BUILD;BUILT;BUILT;Construir - Edificar
R;BURN;BURNED;BURNED;Quemar(se) - Quemar
I;BURST;BURST;BURST;Estallar - Reventar
I;BUY;BOUGHT;BOUGHT;Comprar - Adquirir
R;CALL;CALLED;CALLED;Llamar
R;CAMP;CAMPED;CAMPED;Acampar
R;CANCEL;CANCELLED;CANCELLED;Cancelar
R;CARE;CARED;CARED;Cuidar - Preocuparse - Preocupar
R;CARRY;CARRIED;CARRIED;Llevar - Cargar
I;CATCH;CAUGHT;CAUGHT;Coger - Agarrar
R;CELEBRATE;CELEBRATED;CELEBRATED;Celebrar
R;CHANGE;CHANGED;CHANGED;Cambiar
R;CHARGE;CHARGED;CHARGED;Cobrar - Cargar
R;CHECK;CHECKED;CHECKED;Revisar - Comprobar
R;CHEW;CHEWED;CHEWED;Masticar - Rumiar
R;CHILL;CHILLED;CHILLED;Resfriar - Enfriar
I;CHOOSE;CHOSE;CHOSEN;Elegir - Escoger - Seleccionar
R;CIRCLE;CIRCLED;CIRCLED;Rodear - Cercar
R;CLAP;CLAPPED;CLAPPED;Aplaudir
R;CLEAN;CLEANED;CLEANED;Limpiar - Asear
R;CLIMB;CLIMBED;CLIMBED;Trepar - Subir - Escalar
I;CLING;CLUNG;CLUNG;Agarrarse - Aferrarse
R;CLOSE;CLOSED;CLOSED;Cerrar - Finalizar
R;COLLECT;COLLECTED;COLLECTED;Coleccionar
I;COME;CAME;COME;Venir
R;COMMENT;COMMENTED;COMMENTED;Comentar
R;COMPLAIN;COMPLAINED;COMPLAINED;Quejar(se) - Reclamar - Quejar
R;COMPLETE;COMPLETED;COMPLETED;Completar
R;CONTINUE;CONTINUED;CONTINUED;Continuar
R;CONVINCE;CONVINCED;CONVINCED;Convencer
R;COOK;COOKED;COOKED;Cocinar
R;COOL;COOLED;COOLED;Enfriar - Refrigerar
R;COPY;COPIED;COPIED;Copiar - imitar
R;COST;COST;COST;Costar - Valer
R;COUNT;COUNTED;COUNTED;Contar - Calcular
R;COVER;COVERED;COVERED;Cubrir
R;CROSS;CROSSED;CROSSED;Cruzar - Atravesar
R;CRY;CRIED;CRIED;Llorar - Gritar
I;CUT;CUT;CUT;Cortar
R;DANCE;DANCED;DANCED;Bailar
I;DEAL;DEALT;DEALT;Distribuir - Negociar
R;DECIDE;DECIDED;DECIDED;Decidir
R;DECLARE;DECLARED;DECLARED;Declarar
R;DECORATE;DECORATED;DECORATED;Decorar - Adornar
R;DEMONSTRATE;DEMONSTRATED;DEMONSTRATED;Demostrar
R;DEPEND;DEPENDED;DEPENDED;Depender
