TYPE;SIMPLE FORM;SIMPLE PAST;PAST PARTICIPLE;MEANING
R;SHARE;SHARED;SHARED;Compartir
R;SHARPEN;SHARPENED;SHARPENED;Afilar - Amolar
I;SHINE;SHONE;SHONE;Brillar - Alumbrar
I;SHOOT;SHOT;SHOT;Tirar - Disparar
R;SHOP;SHOPPED;SHOPPED;Comprar en tiendas
R;SHOUT;SHOUTED;SHOUTED;Gritar
R;SHOW;SHOWED;SHOWED;Mostrar - Enseñar
I;SHRINK;SHRANK;SHRUNK;Encoger - Contraer
I;SHUT;SHUT;SHUT;Cerrar - Callar
R;SIGH;SIGHED;SIGHED;Suspirar - Susurrar
R;SIGN;SIGNED;SIGNED;Firmar
I;SING;SANG;SUNG;Cantar
I;SINK;SANK;SUNK;Sumergir - Hundir
I;SIT;SAT;SAT;Sentarse
R;SKATE;SKATED;SKATED;Patinar
I;SLEEP;SLEPT;SLEPT;Dormir
R;SLICE;SLICED;SLICED;Rebanar
I;SLIDE;SLID;SLID;Resbalar(se)
R;SMELL;SMELLED;SMELLED;Oler - Husmear
R;SMILE;SMILED;SMILED;Sonreir
R;SMOKE;SMOKED;SMOKED;Fumar
R;SNEEZE;SNEEZED;SNEEZED;Estornudar
R;SOLVE;SOLVED;SOLVED;Resolver
R;SOUND;SOUNDED;SOUNDED;Sonar - Tocar
I;SPEAK;SPOKE;SPOKEN;Hablar
I;SPEED;SPED;SPED;Acelerar
R;SPELL;SPELLED;SPELLED;Deletrear
I;SPEND;SPENT;SPENT;Gastar - Pasar el tiempo
R;SPILL;SPILLED;SPILLED;Derramar
I;SPIN;SPUN;SPUN;Hacer girar - Dar vueltas
I;SPIT;SPIT;SPIT;Escupir
R;SPLASH;SPLASHED;SPLASHED;Salpicar - Rociar - Chapotear
I;SPLIT;SPLIT;SPLIT;Divir - Partir
R;SPOIL;SPOILED;SPOILED;Estropear - Echar a perder - Mimar
I;SPREAD;SPREAD;SPREAD;Esparcir - Untar - Extender
R;SQUEEZE;SQUEEZED;SQUEEZED;Apretar - Comprimir
I;STAND;STOOD;STOOD;Ponerse de pie - Pararse
